variable,descript
hhid,世代id
pid,世帯員id
year,年度（調査年度の前年）
donate,"[世帯員]年間寄付金支出総額（単位:10,000KRW）"
d_donate,[世帯員]寄付金支出の有無
h_donate,"[世帯]年間寄付金支出総額（単位:10,000KRW）"
d_h_donate,[世帯]寄付金支出の有無
tinc,"[世帯員]年間所得総額（単位: 10,000KRW）"
linc,"[世帯員]年間労働所得（単位: 10,000KRW）"
first_mtr,[世帯員]年間労働所得ベースの限界所得税率
subtract_linc,[世帯員]年間労働所得（-寄付額）
last_mtr,[世帯員]寄付を差し引いた年間労働所得ベースの限界所得税率
linc_l1,[世帯員]年間労働所得（lag = 1）
first_mtr_l1,[世帯員]年間労働所得ベースの限界所得税率(lag = 1)
linc_l2,[世帯員]年間労働所得（lag = 2）
first_mtr_l2,[世帯員]年間労働所得ベースの限界所得税率(lag = 2)
linc_l3,[世帯員]年間労働所得（lag = 3）
first_mtr_l3,[世帯員]年間労働所得ベースの限界所得税率(lag = 3)
credit_benefit,[世帯員]税制改正の利益(2013年First MTR < 0.15)
credit_neutral,[世帯員]税制改正の利益（2013年First MTR = 0.15）
credit_loss,[世帯員]税制改正の利益(2013年First MTR > 0.15)
wave,サーベイ
age,[世帯員]  年齢
educ,[世帯員]最終教育水準(1=中卒以下、2=高卒、3=短大卒以上)
sex,[世帯員] 性別
p_prel,【世帯員】世帯主との関係コード 
area,[世帯]地域コード
d_deduct_linc,[世帯員]労働所得控除の有無
deduct_linc,[世帯員]労働所得控除額
d_deduct_donate_linc,[世帯員]労働所得に対する寄付金所得控除の有無
deduct_donate_linc,[世帯員]労働所得に対する寄付金所得控除額
d_credit_donate_linc,[世帯員]労働所得に対する寄付金税額控除の有無
credit_donate_linc,[世帯員]労働所得に対する寄付金税額控除額
position,[世帯員]従事地位（1=常用、2=臨時、3=自営業、4=無給の家族従事者）
working,[世帯員]就業状態（1=就職、2=専業主婦、3=無職、4=学生）
indust,[Aa.経済活動状態]  現在の主な雇用  -  事業内容
d_deduct_donate_tinc,[世帯員]総合所得に対する寄付金所得控除の有無
d_credit_donate_tinc,[世帯員]総合所得に対する寄付金税額控除の有無
d_relief_donate_linc,[世帯員]労働所得に対する寄付金控除の有無
d_relief_donate_tinc,[世帯員]総合所得に対する寄付金控除の有無
d_relief_donate,[世帯員]労働・総合所得に対する寄付金控除の有無
head,[世帯員]世帯主ダミー
wife,[世帯員]世帯主の配偶者ダミー
child,[世帯員]世帯主の子供ダミー
employee,[世帯員]常用職（給与所得者）ダミー
housewife,[世帯員]専業主婦ダミー
univ,[世帯員]大卒ダミー
highschool,[世帯員]高卒ダミー
junior,[世帯員]中卒ダミー
sqage,[世帯員]年齢の二乗/100
credit_treat,[世帯員]2014年税制改正の利益
price,[世帯員]first giving price
lprice,[世帯員]last giving price
price_l1_deduct,"[世帯員]first giving price (lag1 income, tax deduction)"
price_l2_deduct,"[世帯員]first giving price (lag2 income, tax deduction)"
price_l3_deduct,"[世帯員]first giving price (lag3 income, tax deduction)"
price_l1,[世帯員]first giving price (lag = 1)
price_l2,[世帯員]first giving price (lag = 2)
price_l3,[世帯員]first giving price (lag = 3)
price_iv1,[世帯員]first price with lag1 inc/lag1 first price
price_iv2,[世帯員]first price with lag2 inc/lag2 first price
price_iv3,[世帯員]first price with lag3 inc/lag3 first price
price_ln,priceの対数値
lprice_ln,lpriceの対数値
price_iv1_ln,price_iv1の対数値
price_iv2_ln,price_iv2の対数値
price_iv3_ln,price_iv3の対数値
linc_ln,lincの対数値
donate_ln,donateの対数値
price_ln_d1,price_ln - price_ln (lag = 1)
price_ln_d2,price_ln - price_ln (lag = 2)
price_ln_d3,price_ln - price_ln (lag = 3)
donate_ln_d1,donate_ln - donate_ln (lag = 1)
donate_ln_d2,donate_ln - donate_ln (lag = 2)
donate_ln_d3,donate_ln - donate_ln (lag = 3)
linc_ln_d1,linc_ln - linc_ln (lag = 1)
linc_ln_d2,linc_ln - linc_ln (lag = 2)
linc_ln_d3,linc_ln - linc_ln (lag = 3)
age_d1,age - age (lag = 1)
age_d2,age - age (lag = 2)
age_d3,age - age (lag = 3)
sqage_d1,sqage - sqage (lag = 1)
sqage_d2,sqage - sqage (lag = 2)
sqage_d3,sqage - sqage (lag = 3)
village_accountant,[地域]村税理士制度に登録している税理士の数
village_consult,[地域]村税理士制度の相談件数
pops,[地域]人口
pub_accountant_firm,[地域]公認会計士事務所の数
pub_accountant,[地域]公認会計士の人数
tax_accountant_firm,[地域]税理士事務所の数
tax_accountant,[地域]税理士の人数
pub_accountant_per,[地域]公認会計士の人数 / 人口
tax_accountant_per,[地域]税理士の人数 / 人口
